"DateTime","Dissolved Oxygen (mg/L)"
"2018-01-08 18:30:00",4.2
"2018-02-04 18:30:00",4
"2018-03-05 18:30:00",3.5
"2018-04-04 18:30:00",1
"2018-05-08 18:30:00",3.8
"2018-06-03 18:30:00",3.2
"2018-07-04 18:30:00",5.3
"2018-08-08 18:30:00",5.2
"2018-09-08 18:30:00",4.9
"2018-10-03 18:30:00",
"2018-10-31 18:30:00",4.5
"2018-12-05 18:30:00",4
"2019-01-02 18:30:00",4.1
"2019-02-04 18:30:00",3.9
"2019-03-14 18:30:00",4.2
"2019-04-03 18:30:00",6.7
"2019-05-05 18:30:00",3.1
"2019-06-05 18:30:00",
"2019-07-09 18:30:00",4.7
"2019-08-07 18:30:00",4.6
"2019-09-04 18:30:00",4.7
"2019-10-06 18:30:00",4
"2019-11-07 18:30:00",4.5
"2019-12-05 18:30:00",3.8
"2021-01-06 18:30:00",3.8
"2021-02-08 18:30:00",3.8
"2021-03-07 18:30:00",3.4